id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,conversation,စကားစမြည်,We had a nice conversation over coffee.,ကော်ဖီသောက်ရင်း စကားလှလှ ပြောခဲ့ကြတယ်။,/ˌkɒn.vəˈseɪ.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/conversation-us.ogg,conversation
,word,pound,ပေါင်,The bag weighs two pounds.,အိတ်က ပေါင်နှစ်ပေါင် အလေးချိန်ရှိတယ်။,/paʊnd/,https://api.dictionaryapi.dev/media/pronunciations/en/pound-us.mp3,food-shopping
,word,magazine,မဂ္ဂဇင်း,I bought a fashion magazine.,ဖက်ရှင်မဂ္ဂဇင်းတစ်စောင် ဝယ်ခဲ့တယ်။,/mæɡəˈziːn/,,everyday
,word,shape,ပုံသဏ္ဌာန်,This cake is in the shape of a heart.,ဒီကိတ်မုန့်က နှလုံးပုံသဏ္ဌာန် ဖြစ်တယ်။,/ʃeɪp/,https://api.dictionaryapi.dev/media/pronunciations/en/shape-us.mp3,everyday
,word,sea,ပင်လယ်,We swam in the sea yesterday.,မနေ့က ပင်လယ်ထဲမှာ ရေကူးခဲ့ကြတယ်။,/siː/,,travel
,word,immediately,ချက်ချင်း,Please call me immediately.,ချက်ချင်း ကျွန်တော့်ကို ဖုန်းခေါ်ပါ။,/əˈmiːdi.ətli/,https://api.dictionaryapi.dev/media/pronunciations/en/immediately-us.mp3,everyday
,word,welcome,ကြိုဆို,Welcome to our home.,ကျွန်တော်တို့အိမ်ကို ကြိုဆိုပါတယ်။,/ˈwɛlkəm/,https://api.dictionaryapi.dev/media/pronunciations/en/welcome-uk.mp3,conversation
,word,smile,ပြုံး,She has a beautiful smile.,သူမမှာ လှပတဲ့ ပြုံးရင်း ရှိတယ်။,/ˈsmaɪ.əl/,https://api.dictionaryapi.dev/media/pronunciations/en/smile-us.mp3,everyday
,word,communication,ဆက်သွယ်ရေး,Good communication is important in a team.,အသင်းတစ်ခုမှာ ဆက်သွယ်ရေးကောင်းကောင်း အရေးကြီးတယ်။,/kəˌmjuːnɪˈkeɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/communication-us.mp3,conversation
,word,agent,ကိုယ်စားလှယ်,He is a real estate agent.,သူက အိမ်ခြံမြေ ကိုယ်စားလှယ်တစ်ယောက်ပါ။,/ˈeɪ.dʒənt/,https://api.dictionaryapi.dev/media/pronunciations/en/agent-us.mp3,everyday
,word,traditional,ရိုးရာ,This is a traditional Myanmar dish.,ဒါက မြန်မာ့ရိုးရာဟင်းလျာတစ်ခုပါ။,/tɹəˈdɪʃnəl/,,everyday
,word,replace,အစားထိုး,We need to replace the broken window.,ကွဲနေတဲ့ ပြတင်းပေါက်ကို အစားထိုးဖို့ လိုတယ်။,/ɹɪˈpleɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/replace-us.mp3,everyday
,word,judge,တရားသူကြီး၊ ဆုံးဖြတ်,The judge decided the case.,တရားသူကြီးက အမှုကို ဆုံးဖြတ်ခဲ့တယ်။,/d͡ʒʌd͡ʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/judge-us.mp3,everyday
,word,suddenly,ရုတ်တရက်,"Suddenly, it started to rain.",ရုတ်တရက် မိုးစတင်ရွာလာတယ်။,/ˈsʌdn̩li/,https://api.dictionaryapi.dev/media/pronunciations/en/suddenly-us.mp3,everyday
,word,generation,မျိုးဆက်,This song is popular with the younger generation.,ဒီသီချင်းက လူငယ်မျိုးဆက်ကြား ရေပန်းစားတယ်။,/ˌd͡ʒɛnəˈɹeɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/generation-us.mp3,people
,word,estimate,ခန့်မှန်း,Can you estimate how much it will cost?,ဘယ်လောက်ကုန်မလဲဆိုတာ ခန့်မှန်းပေးနိုင်မလား။,/ˈɛstɨmɨt/,https://api.dictionaryapi.dev/media/pronunciations/en/estimate-us.mp3,everyday
,word,favorite,အကြိုက်ဆုံး,Pizza is my favorite food.,ပီဇာက ကျွန်တော် အကြိုက်ဆုံး အစားအစာပါ။,/ˈfeɪv.ɹɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/favorite-us.mp3,everyday
,word,difficulty,အခက်အခဲ,I had difficulty finding the address.,လိပ်စာရှာရတာ အခက်အခဲ ရှိခဲ့တယ်။,/ˈdɪfɪkəlti/,https://api.dictionaryapi.dev/media/pronunciations/en/difficulty-us.mp3,everyday
,word,purchase,ဝယ်ယူ,I made a purchase online.,အွန်လိုင်းမှာ ပစ္စည်းတစ်ခု ဝယ်ယူခဲ့တယ်။,/ˈpɜːtʃəs/,https://api.dictionaryapi.dev/media/pronunciations/en/purchase-us.mp3,food-shopping
,word,shoot,ပစ်၊ ရိုက်ကူး,He tried to shoot the ball into the goal.,သူ ဘောလုံးကို ဂိုးထဲ ရိုက်သွင်းဖို့ ကြိုးစားခဲ့တယ်။,/ʃuːt/,https://api.dictionaryapi.dev/media/pronunciations/en/shoot-uk.mp3,everyday
,word,announce,ကြေညာ,They announced the results today.,သူတို့ ဒီနေ့ ရလဒ်တွေကို ကြေညာခဲ့ကြတယ်။,/əˈnaʊns/,,conversation
,word,independent,လွတ်လပ်၊ မှီခိုကင်း,She is very independent.,သူမက လွတ်လပ်စွာနေတတ်တယ်။,/ɪndɪˈpɛndənt/,https://api.dictionaryapi.dev/media/pronunciations/en/independent-us.mp3,everyday
,word,recommend,အကြံပြု၊ ထောက်ခံ,I recommend this restaurant.,ဒီစားသောက်ဆိုင်ကို အကြံပြုချင်တယ်။,/ɹɛkəˈmɛnd/,https://api.dictionaryapi.dev/media/pronunciations/en/recommend-us.mp3,conversation
,word,survey,စစ်တမ်း,We did a survey of our customers.,ကျွန်တော်တို့ ဖောက်သည်တွေကို စစ်တမ်းကောက်ခဲ့တယ်။,,,everyday
,word,majority,အများစု,The majority of people agreed.,လူအများစုက သဘောတူခဲ့ကြတယ်။,/məˈd͡ʒɒɹɪti/,https://api.dictionaryapi.dev/media/pronunciations/en/majority-us.mp3,everyday
,word,stick,တုတ်၊ ကပ်,The dog fetched the stick.,ခွေးက တုတ်ချောင်းကို သွားယူလာတယ်။,/stɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/stick-us.mp3,everyday
,word,request,တောင်းဆို,I have a small request.,ကျွန်တော့်မှာ တောင်းဆိုချက်လေးတစ်ခု ရှိတယ်။,/ɹɪˈkwɛst/,https://api.dictionaryapi.dev/media/pronunciations/en/request-us.mp3,conversation
,word,rich,ချမ်းသာ,He became rich after starting his own business.,သူ ကိုယ်ပိုင်လုပ်ငန်း စတင်ပြီးနောက် ချမ်းသာလာတယ်။,/ɹɪt͡ʃ/,https://api.dictionaryapi.dev/media/pronunciations/en/rich-us.mp3,everyday
,word,wind,လေ,The wind is very strong today.,ဒီနေ့ လေတွေ အရမ်းပြင်းတယ်။,/ˈwaɪnd/,https://api.dictionaryapi.dev/media/pronunciations/en/wind-1-uk.mp3,everyday
,word,exchange,လဲလှယ်,Can I exchange this shirt for a bigger size?,ဒီအင်္ကျီကို ပိုကြီးတဲ့ဆိုဒ်နဲ့ လဲလို့ရမလား။,/ɛksˈtʃeɪndʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/exchange-us.mp3,everyday
,word,budget,ဘတ်ဂျက်၊ ဘဏ္ဍာငွေ,We need to plan our budget carefully.,ကျွန်တော်တို့ ဘတ်ဂျက်ကို ဂရုတစိုက် စီစဉ်ရမယ်။,/ˈbʌdʒ.ɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/budget-us.mp3,food-shopping
,word,famous,ကျော်ကြား,She is a famous singer.,သူမက ကျော်ကြားတဲ့ အဆိုတော်တစ်ယောက်ပါ။,/ˈfeɪməs/,https://api.dictionaryapi.dev/media/pronunciations/en/famous-us.ogg,everyday
,word,blood,သွေး,He donated blood last week.,သူ အရင်အပတ်က သွေးလှူခဲ့တယ်။,/blʊd/,https://api.dictionaryapi.dev/media/pronunciations/en/blood-uk.mp3,everyday
,word,appropriate,သင့်တော်,This dress is not appropriate for the office.,ဒီဝတ်စုံက ရုံးအတွက် မသင့်တော်ဘူး။,,,everyday
,word,block,ပိတ်ဆို့၊ တုံး,A truck is blocking the road.,ကုန်တင်ကားတစ်စီးက လမ်းကို ပိတ်ဆို့ထားတယ်။,/blɒk/,https://api.dictionaryapi.dev/media/pronunciations/en/block-au.mp3,everyday
,word,warm,နွေး,It's warm today.,ဒီနေ့ ရာသီဥတု နွေးနွေးရှိတယ်။,/wɔːm/,https://api.dictionaryapi.dev/media/pronunciations/en/warm-us.mp3,everyday
,word,count,ရေတွက်,Can you count to ten in English?,အင်္ဂလိပ်လို ဆယ်အထိ ရေတွက်နိုင်မလား။,/kaʊnt/,https://api.dictionaryapi.dev/media/pronunciations/en/count-us.mp3,everyday
,word,scene,မြင်ကွင်း၊ ဇာတ်ဝင်ခန်း,This is my favorite scene in the movie.,ဒါက ရုပ်ရှင်ထဲက ကျွန်တော်အကြိုက်ဆုံး ဇာတ်ဝင်ခန်းပါ။,/siːn/,https://api.dictionaryapi.dev/media/pronunciations/en/scene-us.mp3,everyday
,word,writer,စာရေးဆရာ,She is a talented writer.,သူမက အရည်အချင်းရှိတဲ့ စာရေးဆရာမတစ်ယောက်ပါ။,/ˈɹaɪ.tə/,https://api.dictionaryapi.dev/media/pronunciations/en/writer-uk.mp3,everyday
,word,content,အကြောင်းအရာ၊ ကျေနပ်,I am happy with the content of the book.,ဒီစာအုပ်ရဲ့ အကြောင်းအရာကို ကျေနပ်တယ်။,/kənˈtɛnt/,https://api.dictionaryapi.dev/media/pronunciations/en/content-1-uk.mp3,everyday
,word,prevent,တားဆီး၊ ကာကွယ်,Washing your hands can prevent illness.,လက်ဆေးတာက ဖျားနာမှုကို ကာကွယ်နိုင်တယ်။,/pɹəˈvɛnt/,https://api.dictionaryapi.dev/media/pronunciations/en/prevent-us.mp3,everyday
,word,safe,ဘေးကင်း၊ မီးခံသေတ္တာ,Is it safe to drink this water?,ဒီရေသောက်တာ ဘေးကင်းလား။,/seɪf/,https://api.dictionaryapi.dev/media/pronunciations/en/safe-us.mp3,everyday
,word,invite,ဖိတ်ကြား,I invited my friends to the party.,ကျွန်တော့်သူငယ်ချင်းတွေကို ပါတီကို ဖိတ်ကြားခဲ့တယ်။,/ɪnˈvaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/invite-1-uk.mp3,everyday
,word,mix,ရော၊ ရောစပ်,Mix the flour with the eggs.,မုန့်ညက်ကို ကြက်ဥနဲ့ ရောစပ်ပါ။,/ˈmɪks/,https://api.dictionaryapi.dev/media/pronunciations/en/mix-us.mp3,everyday
,word,element,ဒြပ်စင်၊ အစိတ်အပိုင်း,Trust is an important element in a relationship.,ယုံကြည်မှုက ဆက်ဆံရေးမှာ အရေးကြီးတဲ့ အစိတ်အပိုင်းတစ်ခုပါ။,/ˈɛlɪmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/element-us.mp3,everyday
,word,effective,ထိရောက်,This medicine is very effective.,ဒီဆေးက အရမ်းထိရောက်တယ်။,/əˈfɛktɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/effective-us.mp3,everyday
,word,correct,မှန်ကန်၊ ပြင်,Please correct my mistakes.,ကျွန်တော့်အမှားတွေကို ပြင်ပေးပါ။,/kəˈɹɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/correct-us.mp3,everyday
,word,medical,ဆေးဘက်ဆိုင်ရာ,He needs medical help.,သူ့ကို ဆေးဘက်ဆိုင်ရာ အကူအညီ လိုအပ်တယ်။,/ˈmɛdɪkl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/medical-us.mp3,everyday
,word,admit,ဝန်ခံ၊ လက်ခံ,I admit I was wrong.,ကျွန်တော် မှားခဲ့တယ်ဆိုတာ ဝန်ခံပါတယ်။,/ədˈmɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/admit-us.mp3,everyday
,word,beat,ရိုက်၊ နိုင်,Our team beat the other team easily.,ကျွန်တော်တို့အသင်းက တခြားအသင်းကို လွယ်လွယ်နဲ့ နိုင်ခဲ့တယ်။,/biːt/,https://api.dictionaryapi.dev/media/pronunciations/en/beat-us.mp3,everyday
,word,telephone,တယ်လီဖုန်း,Please answer the telephone.,တယ်လီဖုန်း ဖြေပေးပါ။,/ˈtɛləfəʊn/,https://api.dictionaryapi.dev/media/pronunciations/en/telephone-us.mp3,everyday
,word,copy,မိတ္တူ၊ ကူး,Can you make a copy of this document?,ဒီစာရွက်စာတမ်းရဲ့ မိတ္တူတစ်စောင် ကူးပေးနိုင်မလား။,/ˈkɒpi/,https://api.dictionaryapi.dev/media/pronunciations/en/copy-us.mp3,everyday
,word,committee,ကော်မတီ,She is a member of the school committee.,သူမက ကျောင်းကော်မတီရဲ့ အဖွဲ့ဝင်တစ်ဦးပါ။,,,everyday
,word,aware,သတိပြုမိ၊ သိရှိ,I wasn't aware of the problem.,ပြဿနာအကြောင်း မသိရှိခဲ့ဘူး။,/əˈweːɹ/,https://api.dictionaryapi.dev/media/pronunciations/en/aware-us.mp3,everyday
,word,advice,အကြံဉာဏ်,Can you give me some advice?,ကျွန်တော့်ကို အကြံဉာဏ်နည်းနည်း ပေးနိုင်မလား။,/ədˈvaɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/advice-us.mp3,conversation
,word,handle,ကိုင်တွယ်၊ လက်ကိုင်,I can handle this problem myself.,ဒီပြဿနာကို ကျွန်တော် ကိုယ်တိုင် ကိုင်တွယ်နိုင်တယ်။,/ˈhæn.dl/,https://api.dictionaryapi.dev/media/pronunciations/en/handle-au.mp3,everyday
,word,glass,ဖန်၊ ဖန်ခွက်,Can I have a glass of water?,ရေတစ်ခွက် ရနိုင်မလား။,/ɡlɑːs/,https://api.dictionaryapi.dev/media/pronunciations/en/glass-uk.mp3,food-shopping
,word,trial,စမ်းသပ်မှု၊ တရားစီရင်ခြင်း,The new product is still on trial.,ကုန်ပစ္စည်းအသစ်က အခုထိ စမ်းသပ်ဆဲပါ။,/ˈtɹaɪəl/,https://api.dictionaryapi.dev/media/pronunciations/en/trial-us.mp3,everyday
,word,stress,ဖိစီးမှု၊ အလေးပေး,Work is causing me a lot of stress.,အလုပ်ကြောင့် ဖိစီးမှု အများကြီး ခံစားနေရတယ်။,/stɹɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/stress-us.mp3,feelings
,word,radio,ရေဒီယို,I listen to the radio in the car.,ကားထဲမှာ ရေဒီယို နားထောင်တယ်။,/ˈɹeɪdiˌəʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/radio-us.mp3,everyday
,word,administration,အုပ်ချုပ်ရေး,The new administration made many changes.,အုပ်ချုပ်ရေးအဖွဲ့အသစ်က ပြောင်းလဲမှုတွေ အများကြီးလုပ်ခဲ့တယ်။,/ədˌmɪnəˈstɹeɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/administration-us.mp3,everyday
,word,complex,ရှုပ်ထွေး၊ အဆောက်အအုံစု,This problem is more complex than I thought.,ဒီပြဿနာက ကျွန်တော်ထင်ထားတာထက် ပိုရှုပ်ထွေးတယ်။,,,everyday
,word,text,စာသား,I sent him a text message.,သူ့ကို စာသားတိုတစ်ခု ပို့ခဲ့တယ်။,/tɛkst/,https://api.dictionaryapi.dev/media/pronunciations/en/text-us.mp3,everyday
,word,context,စကားစပ်၊ အခြေအနေ,You need to understand the context of the story.,ပုံပြင်ရဲ့ အခြေအနေကို နားလည်ဖို့ လိုတယ်။,/ˈkɒntɛkst/,https://api.dictionaryapi.dev/media/pronunciations/en/context-uk.mp3,everyday
,word,ride,စီး,Can I get a ride to the airport?,လေဆိပ်ကို လိုက်ပို့ပေးနိုင်မလား။,/ɹaɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/ride-us.mp3,everyday
,word,directly,တိုက်ရိုက်,Please speak to me directly.,ကျွန်တော့်ကို တိုက်ရိုက်ပြောပါ။,/daɪˈɹɛk(t)li/,https://api.dictionaryapi.dev/media/pronunciations/en/directly-us.mp3,everyday
,word,heavy,လေး,This bag is too heavy for me.,ဒီအိတ်က ကျွန်တော့်အတွက် အလေးလွန်းတယ်။,/ˈhe.vi/,https://api.dictionaryapi.dev/media/pronunciations/en/heavy-1-au.mp3,everyday
,word,remove,ဖယ်ရှား,Please remove your shoes before entering.,မဝင်ခင် ဖိနပ်ချွတ်ပေးပါ။,/ɹɪˈmuːv/,https://api.dictionaryapi.dev/media/pronunciations/en/remove-au.mp3,everyday
,word,conduct,ဆောင်ရွက်၊ အမူအကျင့်,The teacher conducted the class well.,ဆရာမက အတန်းကို ကောင်းကောင်း ဆောင်ရွက်ခဲ့တယ်။,/ˈkɒndʌkt/,https://api.dictionaryapi.dev/media/pronunciations/en/conduct-ca-noun.mp3,everyday
,word,equipment,ကိရိယာ,We need more equipment for this project.,ဒီပရောဂျက်အတွက် ကိရိယာများများ လိုအပ်တယ်။,/ɪˈkwɪpmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/equipment-us.mp3,everyday
,word,otherwise,မဟုတ်ရင်၊ သို့မဟုတ်,"Hurry up, otherwise we will be late.",မြန်မြန်လုပ်၊ မဟုတ်ရင် နောက်ကျမှာ။,/ˈʌð.əˌwaɪz/,https://api.dictionaryapi.dev/media/pronunciations/en/otherwise-us.mp3,conversation
,word,title,ခေါင်းစဉ်၊ ဘွဲ့,What is the title of this book?,ဒီစာအုပ်ရဲ့ ခေါင်းစဉ်က ဘာလဲ။,/ˈtaɪtl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/title-us.mp3,everyday
,word,extra,အပို,Can I get some extra rice?,ထမင်း အပိုနည်းနည်း ရနိုင်မလား။,/ˈɛkstɹə/,https://api.dictionaryapi.dev/media/pronunciations/en/extra-au.mp3,everyday
,word,executive,အမှုဆောင်၊ အုပ်ချုပ်မှုပိုင်း,She is a senior executive at the company.,သူမက ကုမ္ပဏီရဲ့ အကြီးတန်း အမှုဆောင်တစ်ယောက်ပါ။,/ɛɡˈzɛkjʊtɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/executive-us.mp3,work-study
,word,chair,ကုလားထိုင်,Please sit on this chair.,ဒီကုလားထိုင်ပေါ် ထိုင်ပေးပါ။,/t͡ʃɛə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/chair-uk.mp3,everyday
,word,expensive,ဈေးကြီး,This phone is too expensive for me.,ဒီဖုန်းက ကျွန်တော့်အတွက် အရမ်းဈေးကြီးတယ်။,/ɛkˈspɛnsɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/expensive-uk.mp3,food-shopping
,word,sample,နမူနာ,Can I try a sample first?,အရင် နမူနာစမ်းကြည့်လို့ရမလား။,/sæːm.pəl/,,everyday
,word,sex,လိင်,The doctor asked about the baby's sex.,ဆရာဝန်က ကလေးရဲ့ လိင်အကြောင်း မေးခဲ့တယ်။,/sɛks/,https://api.dictionaryapi.dev/media/pronunciations/en/sex-us.mp3,everyday
,word,deliver,ပို့ဆောင်၊ မွေးဖွား,They will deliver the package tomorrow.,သူတို့ ပါဆယ်ကို မနက်ဖြန် ပို့ဆောင်ပေးမယ်။,/dɪˈlɪvə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/deliver-us.mp3,everyday
,word,video,ဗီဒီယို,I watched a funny video today.,ဒီနေ့ ရယ်စရာကောင်းတဲ့ ဗီဒီယိုတစ်ခု ကြည့်ခဲ့တယ်။,/ˈvɪ.di.əʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/video-us.mp3,everyday
,word,connection,ဆက်သွယ်မှု၊ အဆက်အသွယ်,I lost my internet connection.,အင်တာနက် ဆက်သွယ်မှု ပြတ်သွားတယ်။,/kəˈnɛkʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/connection-us.mp3,everyday
,word,primary,မူလ၊ အဓိက,Education is our primary concern.,ပညာရေးက ကျွန်တော်တို့ရဲ့ အဓိကစိုးရိမ်မှုပါ။,/ˈpɹɒeməɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/primary-us.mp3,everyday
,word,weather,ရာသီဥတု,The weather is nice today.,ဒီနေ့ ရာသီဥတု ကောင်းတယ်။,/ˈwɛðə/,https://api.dictionaryapi.dev/media/pronunciations/en/weather-us.mp3,everyday
,word,collect,စုဆောင်း,I collect stamps as a hobby.,အားလပ်ချိန်စိတ်ကြိုက် တံဆိပ်ခေါင်းတွေ စုဆောင်းတယ်။,/kəˈlɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/collect-1-us.mp3,everyday
,word,inform,အသိပေး,Please inform me if anything changes.,တစ်ခုခု ပြောင်းလဲရင် ကျွန်တော့်ကို အသိပေးပါ။,/ɪnˈfɔːm/,https://api.dictionaryapi.dev/media/pronunciations/en/inform-us.mp3,conversation
,word,principle,မူ၊ သဘောတရား,Honesty is an important principle for me.,ရိုးသားမှုက ကျွန်တော့်အတွက် အရေးကြီးတဲ့ မူတစ်ခုပါ။,/ˈpɹɪnsəpəl/,https://api.dictionaryapi.dev/media/pronunciations/en/principle-us.mp3,everyday
,word,straight,ဖြောင့်၊ တည့်တည့်,Go straight and turn left.,ဖြောင့်ဖြောင့်သွားပြီး ဘယ်ဘက်ကွေ့ပါ။,/stɹeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/straight-au.mp3,everyday
,word,appeal,အယူခံ၊ ဆွဲဆောင်မှု,This idea doesn't appeal to me.,ဒီအကြံဉာဏ်က ကျွန်တော့်ကို မဆွဲဆောင်ဘူး။,/əˈpiːl/,https://api.dictionaryapi.dev/media/pronunciations/en/appeal-au.mp3,everyday
,word,highly,အလွန်,I highly recommend this book.,ဒီစာအုပ်ကို အလွန် အကြံပြုချင်တယ်။,/ˈhaɪli/,https://api.dictionaryapi.dev/media/pronunciations/en/highly-us.mp3,everyday
,word,trust,ယုံကြည်၊ ယုံကြည်မှု,I trust you completely.,မင်းကို ကျွန်တော် အပြည့်အဝ ယုံကြည်တယ်။,/trʊst/,https://api.dictionaryapi.dev/media/pronunciations/en/trust-us.mp3,feelings
,word,wonderful,အံ့ဩဖွယ်၊ လွန်စွာကောင်း,We had a wonderful time together.,ကျွန်တော်တို့ အတူတူ အချိန်ကောင်းတွေ ရခဲ့တယ်။,/ˈwʌn.də.fl/,https://api.dictionaryapi.dev/media/pronunciations/en/wonderful-us.mp3,everyday
,word,flat,ပြား၊ တိုက်ခန်း,They live in a small flat.,သူတို့ တိုက်ခန်းလေးတစ်ခန်းမှာ နေထိုင်ကြတယ်။,/flæt/,https://api.dictionaryapi.dev/media/pronunciations/en/flat-au.mp3,everyday
,word,absolutely,လုံးဝ၊ အမှန်ပင်,I absolutely love this song.,ဒီသီချင်းကို လုံးဝ ကြိုက်တယ်။,/æb.səˈl(j)uːt.lɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/absolutely-us.mp3,everyday
,word,flow,စီးဆင်း,The river flows into the sea.,မြစ်ရေက ပင်လယ်ထဲ စီးဆင်းသွားတယ်။,/fləʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/flow-us.mp3,everyday
,word,fair,မျှတ၊ ပွဲတော်,The teacher was fair to all students.,ဆရာမက ကျောင်းသားတွေအားလုံးကို မျှတစွာ ဆက်ဆံခဲ့တယ်။,/feː(ə)/,https://api.dictionaryapi.dev/media/pronunciations/en/fair-us.mp3,everyday
,word,additional,ထပ်ဆောင်း,Do you need any additional information?,ထပ်ဆောင်း အချက်အလက် တစ်ခုခု လိုသေးလား။,/əˈdɪʃənəl/,https://api.dictionaryapi.dev/media/pronunciations/en/additional-us.mp3,everyday
,word,responsible,တာဝန်ရှိ,You are responsible for your own actions.,မင်းရဲ့ လုပ်ရပ်တွေအတွက် မင်း တာဝန်ရှိတယ်။,/ɹɪˈspɒnsəbl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/responsible-us.mp3,everyday
,word,farm,လယ်ယာ၊ ခြံ,My uncle owns a small farm.,ကျွန်တော့်ဦးလေး လယ်ယာခြံငယ်လေးတစ်ခု ပိုင်ဆိုင်တယ်။,/fɑːɹm/,https://api.dictionaryapi.dev/media/pronunciations/en/farm-us.mp3,everyday
,word,collection,စုဆောင်းမှု၊ အစုအဝေး,He has a large collection of coins.,သူမှာ ဒင်္ဂါးအစုအဝေး ကြီးကြီးမားမား ရှိတယ်။,/kəˈlɛkʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/collection-us.mp3,everyday
,word,hang,ဆွဲ၊ ချိတ်,Please hang your coat here.,မင်းကုတ်ကို ဒီမှာ ဆွဲထားပါ။,[heɪŋ],https://api.dictionaryapi.dev/media/pronunciations/en/hang-us.mp3,everyday
,word,negative,အနုတ်လက္ခဏာ၊ အပျက်သဘော,Try not to think negative thoughts.,အနုတ်လက္ခဏာ အတွေးတွေ မတွေးဖို့ ကြိုးစားပါ။,/ˈnɛ(e)ɡəˌɾɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/negative-us.mp3,everyday
,word,band,တီးဝိုင်း၊ ကြိုး,He plays guitar in a band.,သူ တီးဝိုင်းတစ်ခုမှာ ဂစ်တာတီးတယ်။,/bænd/,https://api.dictionaryapi.dev/media/pronunciations/en/band-ca.mp3,everyday
,word,relative,ဆွေမျိုး၊ နှိုင်းရ,I have relatives in Mandalay.,မန္တလေးမှာ ဆွေမျိုးတွေ ရှိတယ်။,[ˈɹɛl.ə.tʰɪv],,people
,word,tour,ခရီးစဉ်,We took a tour of the old city.,မြို့ဟောင်းကို ခရီးစဉ်တစ်ခု လှည့်လည်ခဲ့ကြတယ်။,/tɔː(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/tour-au.mp3,travel
,word,alternative,အခြားရွေးချယ်စရာ,Do you have an alternative plan?,အခြားရွေးချယ်စရာ အစီအစဉ် ရှိလား။,/ɒl.ˈtɜː(ɹ).nə.tɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/alternative-us.mp3,everyday
,word,software,ဆော့ဖ်ဝဲ,This software is easy to use.,ဒီဆော့ဖ်ဝဲက အသုံးပြုရလွယ်တယ်။,/ˈsɑftˌwɛɹ/,https://api.dictionaryapi.dev/media/pronunciations/en/software-us.mp3,everyday
,word,pair,အတွဲ,I need a new pair of shoes.,ဖိနပ်အသစ်တစ်ရံ လိုနေတယ်။,/pɛə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/pair-au.mp3,everyday
,word,ship,သင်္ဘော,The ship left the port this morning.,သင်္ဘောက ဒီမနက် ဆိပ်ကမ်းကနေ ထွက်ခွာသွားတယ်။,/ʃɪp/,https://api.dictionaryapi.dev/media/pronunciations/en/ship-us.mp3,travel
,word,attitude,သဘောထား,I like his positive attitude.,သူ့ရဲ့ အပြုသဘောဆောင်တဲ့ သဘောထားကို ကြိုက်တယ်။,/ˈætɪˌtjuːd/,https://api.dictionaryapi.dev/media/pronunciations/en/attitude-us.mp3,everyday
,word,cheap,ဈေးပေါ,This restaurant is cheap and good.,ဒီစားသောက်ဆိုင်က ဈေးပေါပြီး ကောင်းတယ်။,/t͡ʃiːp/,https://api.dictionaryapi.dev/media/pronunciations/en/cheap-uk.mp3,food-shopping
,word,double,နှစ်ဆ,The price has doubled this year.,ဈေးနှုန်းက ဒီနှစ်ထဲ နှစ်ဆတက်သွားတယ်။,/ˈdʌb.əl/,https://api.dictionaryapi.dev/media/pronunciations/en/double-us.mp3,everyday
,word,leg,ခြေထောက်,I hurt my leg while running.,ပြေးရင်း ခြေထောက် နာသွားတယ်။,/leɪɡ/,https://api.dictionaryapi.dev/media/pronunciations/en/leg-1-au.mp3,everyday
